filename,dispersion_entropy,RDE,class
FNSZ325.mat,2.177414024797842,0.0046868761925683115,FNSZ
FNSZ443.mat,2.1734132492248994,0.005798614615147589,FNSZ
FNSZ457.mat,2.128589167651571,0.014401057187150478,FNSZ
GNSZ018.mat,0.7788047250983945,0.5494783935360765,GNSZ
FNSZ331.mat,1.9261503178820585,0.065479690645964,FNSZ
FNSZ319.mat,0.17545179403986896,0.7336650867515618,FNSZ
GNSZ030.mat,1.3957176179590614,0.2132453295148482,GNSZ
GNSZ024.mat,1.4873642847062107,0.15829322003132312,GNSZ
FNSZ480.mat,2.0575122559932106,0.01961019000567238,FNSZ
FNSZ494.mat,1.9898995565133923,0.05424226734614726,FNSZ
FNSZ127.mat,1.6079022459551597,0.1309061062744701,FNSZ
FNSZ133.mat,1.9858960623742452,0.03705647026690135,FNSZ
CPSZ104.mat,2.080580823082579,0.017451973106392175,CPSZ
CPSZ110.mat,2.086388280837162,0.01548666754545738,CPSZ
FNSZ053.mat,1.7663076691602204,0.09117541889960232,FNSZ
FNSZ047.mat,2.1662181817105575,0.0064264138303812115,FNSZ
FNSZ090.mat,2.1386428359383274,0.012599303523447325,FNSZ
FNSZ084.mat,1.061377224767004,0.38671158266386485,FNSZ
CPSZ058.mat,1.9149710442892425,0.054943146325985626,CPSZ
CPSZ070.mat,1.90008061276176,0.0630315830791899,CPSZ
CPSZ064.mat,1.904491417594752,0.06177163494289496,CPSZ
FNSZ251.mat,2.053202647912046,0.020609182808255147,FNSZ
FNSZ245.mat,2.074837872242022,0.01829373234157141,FNSZ
GNSZ144.mat,1.9109608083019793,0.053859947935860374,GNSZ
FNSZ279.mat,2.078781766552733,0.016810821517360852,FNSZ
GNSZ150.mat,2.134241300874171,0.012291345958815703,GNSZ
FNSZ292.mat,2.1748807562824015,0.004826010801801795,FNSZ
FNSZ286.mat,2.1786023703004003,0.0038446165348872247,FNSZ
FNSZ287.mat,2.1296696034263967,0.016703656879855457,FNSZ
FNSZ293.mat,2.1735797992852985,0.005070356641517695,FNSZ
GNSZ151.mat,1.486639879115956,0.15843816059521662,GNSZ
FNSZ278.mat,2.0541426585074327,0.00799426204518378,FNSZ
GNSZ145.mat,1.9496398675849484,0.04734638335761512,GNSZ
FNSZ244.mat,2.0815968525611077,0.017699047796250533,FNSZ
FNSZ250.mat,2.0593943320428165,0.0192583997952537,FNSZ
CPSZ065.mat,1.9914862682697487,0.04643016359326027,CPSZ
